case_id,label,n,nx_spectrum,rel_mean,rel_var,rel_q25,rel_q50,rel_q75,abs_q25,abs_q50,abs_q75,CDF_sup,W1,residual_l2,F,elapsed_s,strategy_stage1,stage1_config,solver
case_2,"Kum(2,2.41)",7,801,2.1242709282546737e-09,2.1164544216819327e-09,0.09225251034024524,0.0009383275949202525,0.04485632629705514,0.03094528807681668,0.00046911514017639044,0.029667033475040183,0.10592444726504369,0.033185273964294534,6.705561847699101e-16,0.46571022955281227,114.86306639993563,uniforme_extra_5,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_2,"Kum(2,2.41)",8,801,5.151491743660251e-08,2.073610569843099e-09,0.03475993374086848,0.115917488644633,0.01983361767971164,0.011659912117025384,0.05795273338310353,0.013117538777886573,0.09328981906566397,0.029259084806937497,8.043731575406003e-16,0.5724855742546253,192.5787370998878,uniforme_extra_14,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_2,"Kum(2,2.41)",9,801,4.775820276329175e-05,0.0027059686310101716,0.1365619800142369,0.0009670928609018547,0.0708164051103069,0.04580850750071641,0.0004834962815349342,0.0468364851610108,0.08381234705400464,0.026183973396591186,9.256786146316047e-16,0.7220221949558875,56.744318899931386,uniforme_extra_10,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_2,"Kum(2,2.41)",10,801,3.727042061742239e-05,0.0019745940640792576,0.0645588569467673,0.09390979463943715,0.030085046731127756,0.02165569715945359,0.04695002759666228,0.019897618957019025,0.07591371908403838,0.023700307861508,1.1074034249326478e-15,0.6486309725714084,95.79972709994763,uniforme_extra_2,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_2,"Kum(2,2.41)",11,801,2.9667123137744724e-05,0.0014825114661235527,0.027945339358840304,0.0007975879370745882,0.01670050400811399,0.009374016746799108,0.000398752609354458,0.011045363103917127,0.06936121898017644,0.02164935225620663,1.4626766898666298e-15,0.1665998902393772,150.63122530002147,uniforme_extra_10,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_2,"Kum(2,2.41)",12,801,2.4015012818127524e-05,0.0011397692477408076,0.10570642134202562,0.0789816967106413,0.056026665240799224,0.03545828344327795,0.039486752733655484,0.03705486138535563,0.06378015527742953,0.019922697943817187,1.8697145806944446e-15,0.8140204535838116,196.6089489001315,uniforme_extra_2,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_2,"Kum(2,2.41)",13,801,1.972250264833063e-05,0.00089401963039503,0.048619936313652044,0.0006739972993571833,0.02159380069249046,0.01630912730670786,0.00033696369932861847,0.014281686907550384,0.059175187613008884,0.018449226517465507,1.5005734438876446e-15,0.24542986901543384,205.59712569997646,uniforme_extra_15,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_2,"Kum(2,2.41)",14,801,1.6401773807473916e-05,0.0007134152849713372,0.02369364453608543,0.06814928940088964,0.01500311497268305,0.007947823349789052,0.034071110796796755,0.009922745593940574,0.05486557487901461,0.017180967776424052,1.9931978901892873e-15,0.36345166695331704,223.0443108000327,uniforme_extra_3,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",4,801,0.008268740210830822,1.0466307879993866e-08,0.05459137283222037,0.12605847772023182,0.008742180050637285,0.03528451802328991,0.09831823472875134,0.007704173107197176,0.2586553862746216,0.051101056949902815,1.096433067399243e-15,0.788350160587955,20.915102999890223,uniforme_extra_9,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",5,801,1.4780416961870828e-06,1.7977599383903855e-07,1.1880593740997813e-08,1.8874365031689876e-09,0.039230748546627996,7.678887747886165e-09,1.4720900054498998e-09,0.034572666792205164,0.1753170003346849,0.040441692640602746,3.4321090783745803e-15,0.2564313417016707,129.53112599998713,uniforme_extra_11,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",6,801,2.698923628443605e-10,3.108016633504216e-06,0.015488763251007282,4.1005243361954074e-05,0.04289490323535808,0.010010987409462602,3.1981689886162457e-05,0.03780175631564353,0.18738332016148684,0.03583629479846918,2.2598433877227895e-15,0.23469875251286826,126.39779100008309,uniforme_extra_3,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",7,801,7.864679876349212e-11,2.256584369047463e-05,0.049320757196421115,0.03217776421513897,0.05261640826192703,0.03187791506119275,0.025096772802315814,0.04636897377780447,0.15774595568956917,0.031679667909423635,2.2968891781407206e-15,0.47159703471023207,77.48603160004131,regularizacao_minima,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",8,801,1.2967078721392528e-07,4.6911520897115603e-07,0.06329298497745836,0.06270717271274576,0.05947717382814981,0.040908706876608414,0.048907924619167376,0.05241512305223228,0.13784857451134525,0.027764667130579603,8.089729626972102e-15,0.6415705335521734,184.35459390003234,uniforme_extra_4,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",9,801,0.0008303878309204291,0.011305042211371394,0.00288029405181368,0.04409305336926919,0.041048502393938105,0.0018616455698218237,0.03439000096993394,0.03617458876416568,0.12571043803000315,0.024966277220185747,6.719301298821835e-15,0.41476046647299447,33.3660116000101,uniforme_extra_2,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",10,801,0.0006598733241202768,0.008973813242987665,0.04789915791166419,0.014273097962198668,0.02522086957552421,0.030959080399550087,0.011132181041154099,0.022226257523684456,0.11445283700801423,0.022691008931600285,1.3802339082752557e-15,0.387647283835704,38.645802499959245,uniforme_extra_19,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",11,801,0.0005347226147633271,0.007266209992748676,0.04050904091176076,0.010491794942408901,0.01203790974885216,0.02618256163936583,0.008182985996094794,0.010608582758166007,0.10501018099531212,0.020787393657520418,1.442514101937615e-15,0.28813847808519377,36.497026700060815,uniforme_extra_1,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",12,801,0.0004404704937692359,0.005982043202130831,0.00537078994435394,0.031396164766144284,0.0008827342159277778,0.003471349496435683,0.02448717097719566,0.0007779223452001327,0.09771018557885913,0.019192887397161865,1.6335569612450592e-15,0.18972410004708856,58.11523839994334,uniforme_extra_17,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",13,801,0.0003679309752319822,0.004994751818788214,0.044538083595828504,0.04220516210452233,0.008682538687764842,0.028786687929421073,0.03291755627706938,0.007651613290165615,0.08976516176008709,0.01781811237930108,1.932139337338137e-15,0.37171277590058893,48.5614085001871,uniforme_extra_19,MS_V1_REFERENCE,KSQ_V1_Multiobjective
case_3,"Kum(4,1.5)",14,801,0.00031105711326629175,0.004221294714377939,0.02578476937854186,0.020484857697992093,0.016977555656313,0.016665694828003286,0.015976990076035258,0.014961717438406574,0.08410470675539716,0.016626534357739794,1.6196493565790042e-15,0.25614746071926675,57.55039149988443,uniforme_extra_0,MS_V1_REFERENCE,KSQ_V1_Multiobjective
